9-s2.0-24537957000,Texas A&amp;M University,College Station,United States 
9-s2.0-24544389900,Pennsylvania State University,University Park,United States 
9-s2.0-24549515400,Ecole Normale Supérieure de Lyon,Lyon,France 
9-s2.0-24558995600,Fisiogaspar,Lisbon,Portugal 
9-s2.0-24572753800,University of Oregon,Eugene,United States 
9-s2.0-24593705500,Pennsylvania State University,University Park,United States 
9-s2.0-24597251100,Australian National University,Canberra,Australia 
9-s2.0-24605394200,Bar-Ilan University,Ramat Gan,Israel 
9-s2.0-24721476300,University of Notre Dame,Notre Dame,United States 
9-s2.0-24723343400,"University of Michigan, Ann Arbor",Ann Arbor,United States 
9-s2.0-24724236200,"RFware, LLC",South Bend,United States 
9-s2.0-24724692000,University of Notre Dame,Notre Dame,United States 
9-s2.0-24725118000,"University of California, Davis",Davis,United States 
9-s2.0-24729085600,The State Key Laboratory of Synthetical Automation for Process Industries,Shenyang,China 
9-s2.0-24730193500,University of Queensland,Brisbane,Australia 
9-s2.0-24741153500,Institut du Cerveau et de la Moelle Épinière,Paris,France 
9-s2.0-24758926000,National Institute of Standards and Technology,Gaithersburg,United States 
9-s2.0-24759430400,University of Alberta,Edmonton,Canada 
9-s2.0-24773613600,University of Wisconsin-Madison,Madison,United States 
9-s2.0-24777034100,Lawrence Berkeley National Laboratory,Berkeley,United States 
9-s2.0-24779266100,Intel Corporation,Santa Clara,United States 
9-s2.0-24780232400,Beijing University of Posts and Telecommunications,Beijing,China 
9-s2.0-24780933300,National University of Singapore,Singapore City,Singapore 
9-s2.0-24781002200,Universitat Pompeu Fabra Barcelona,Barcelona,Spain 
9-s2.0-24799877800,Westfälische Wilhelms-Universität Münster,Munster,Germany 
9-s2.0-24802051900,Department of Mechanical and Aerospace Engineering,San Diego,United States 
9-s2.0-24802077000,University of Rhode Island,Kingston,United States 
9-s2.0-24802383200,"Northeastern University, China",Shenyang,China 
9-s2.0-24822826200,Medical College of Wisconsin,Milwaukee,United States 
9-s2.0-24825120300,National Institute of Standards and Technology,Gaithersburg,United States 
9-s2.0-24825858200,Politechnika Warszawska,Warsaw,Poland 
9-s2.0-24829443700,Göteborgs Universitet,Gothenburg,Sweden 
9-s2.0-24832536400,Anhui University of Technology,Maanshan,China 
9-s2.0-25028025400,National Oceanic and Atmospheric Administration,"Washington, D.C.",United States 
9-s2.0-25029692500,Western Michigan University,Kalamazoo,United States 
9-s2.0-25031927300,South China Institute of Biomedicine,Guangzhou,China 
9-s2.0-25225411600,Pontificia Universidad Católica de Chile,Santiago,Chile 
